Código	Descripción
14050101	MATERIAS PRIMAS
14050501	MATERIAS PRIMAS
14100505	PRODUCTO EN PROCESO MP
14100510	PRODUCTO EN PROCESO MOD
14100515	PRODUCTO EN PROCESO CIF
14101005	PROD. EN PROC ORDENES ABIERTA MP
14101010	PROD. EN PROC ORDENES ABIERTA MOD
14101015	PROD. EN PROC ORDENES ABIERTA CIF
14280501	PLATANO
14280502	PLANTACIONES DE CAFE
14301001	PRODUCTOS TERMINADOS MP
14301002	PRODUCTOS TERMINADOS MOD
14301003	PRODUCTOS TERMINADOS CIF
14301004	INVENTARIO PRODUCTO DEFECTUOSO
14350101	MERCANCIA NO FABRICADA POR LA EMPRESA
14350102	IMPUESTO AL CONSUMO
14350103	BONOS
14350104	UTENSILIOS MUEBLES-ENSERES Y REPUESTOS
14350105	IMPUESTO IBUA BEBIDAS
14550101	DOTACIONES
14600101	EMPAQUES Y EMBALAJES
14659001	MERCANCIA EN TRANSITO
14990501	PUENTE SALDOS INICIALES
15040501	URBANOS
15041001	RURALES
15080501	CONSTRUCCIONES Y EDIFICACIONES
15080502	CONSTRUCCIONES Y EDIFICACIONES FABRICA
151201001	CONSTRUCCIONES Y EDIFICACIONES
15120501	MAQUINARIA Y EQUIPO
15160501	LOCALES
15160597	REVALORIZACION LOCALES
15160598	DETERIORO LOCALES
15162001	FABRICAS Y PLANTAS INDUSTRIALES
15162097	REVALORIZACION FABRICA
15162098	DETERIORO FABRICA
15200102	MAQUINARIA Y EQUIPO EN COMODATO
15200103	MAQUINARIA Y EQUIPO ADQUIRIDA EN LEASING
15200197	REVALORIZACION MAQUINARIA Y EQUIPO
15200198	DETERIORO MAQUINARIA Y EQUIPO
15200199	IVA EN ACTIVOS FIJOS
15280501	EQUIPO DE PROCESAMIENTO DE DATOS
15280597	REVALORIZACION  EQUIP PROCES. DATOS
15280598	DETERIORO EQUIP PROCES. DATOS
15280599	IVA EN ACTIVOS FIJOS
15281001	EQUIPO DE TELECOMUNICACIONES
15281097	REVALORIZACION EQUIP TELECOMUNICACIONES
15281098	DETERIORO EQUIP TELECOMUNICACIONES
15281099	IVA EN ACTIVOS FIJOS
15400501	FLOTA Y EQUIPO DE TRANSPORTE
15400597	REVALORIZACION FLOTA Y EQUIPO DE TRANSP.
15400598	DETERIORO FLOTA Y EQUIPO DE TRANSP.
15400599	IVA EN ACTIVOS FIJOS
15640501	CULTIVOS EN DESARROLLO
15640502	CULTIVOS EN DESARROLLO - INSUMOS
15640503	CULTIVOS EN DESARROLLO-COMPRA HERRAMIEN.
15640504	CULTIVOS EN DESARROLLO - TRABAJADORES
156499	CULTIVOS EN DESARROLLO - OTROS
15880501	MAQUINARIA Y EQUIPO
15881001	EQUIPO DE OFICINA
