clase,llave,descripcion,base_gravable_pct,tarifa_pct,base_minima,cuentas_contables,conceptos
AUTRENT,3100,AUTORENTA,100.0,0.275,0.0,13559504        AUTORETENCION | 23657502        AUTORETENCION,Devolución de venta | Devolución de venta POS | Ventas | Ventas POS
CREE,3031,AUTORRETENCION CREE 0.4%,100.0,0.4,0.0,13551901        RETENCION EN LA FUENTE CREE | 23690101        CREE 0.40%,Devolución de venta | Devolución de venta POS | Ventas | Ventas POS
ICA,3050,NO USAR,100.0,0.966,145000.0,23680312        RETE ICA SERVICIOS 9.66 BOGOT,Compra de servicios
ICA,3013,RETE ICA COMPRAS 10 ACT. 202,100.0,0.5,1562484.0,23680203        RETE ICA COMPRAS 10 ACTIV 202,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota crédito de servicios - venta | Nota débito de servicios - compra
ICA,3052,RETE ICA COMPRAS 10 ARMENIA,100.0,1.0,0.0,23680215        RETE ICA COMPRAS 10 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3040,RETE ICA COMPRAS 3.6 ARMENIA,100.0,0.36,0.0,23680209        RETE ICA COMPRAS 3.6 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3041,RETE ICA COMPRAS 3.6 ARMENIA,100.0,0.36,0.0,23680209        RETE ICA COMPRAS 3.6 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3035,RETE ICA COMPRAS 3.8 ACT 201,100.0,3.8,0.0,23680210        RETE ICA COMPRAS ACTIV 201,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3036,RETE ICA COMPRAS 3.8 ACT 201,100.0,0.38,0.0,23680211        RETE ICA COMPRAS 3.8 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3011,RETE ICA COMPRAS 3.8 ACT. 201,100.0,0.19,1562484.0,23680201        RETE ICA COMPRAS 3.8 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3084,RETE ICA COMPRAS 3.8 ARMENIA,100.0,0.38,0.0,23680211        RETE ICA COMPRAS 3.8 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3047,RETE ICA COMPRAS 4.5 CARTAGENA,100.0,0.0045,0.0,23680213        RETE ICA COMPRAS 4.5 CARTAGEN,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3064,RETE ICA COMPRAS 4.815 CARTAGENA,100.0,0.4815,0.0,23680216        RETE ICA COMPRAS 4.815 CARTAG,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3012,RETE ICA COMPRAS 5.0 ACT. 203,100.0,0.25,1562484.0,23680202        NO USAR RETE ICA COMPRAS 5.0,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3039,RETE ICA COMPRAS 5.0 ARMENIA,100.0,0.5,0.0,23680323        RETE ICA COMPRAS 5.0 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3048,RETE ICA COMPRAS 7 CARTAGENA,100.0,0.07,0.0,,
ICA,3065,RETE ICA COMPRAS 7.49 CARTAGENA,100.0,0.749,0.0,23680217        RETE ICA COMPRAS 7.49 CARTAGE,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3015,RETE ICA COMPRAS 7.5 ACTIV 206,100.0,0.375,1562484.0,23680205        RETE ICA COMPRAS 7.5 ACTIV 20,Compra de servicios | Nota débito de servicios - compra
ICA,3014,RETE ICA COMPRAS 9.5 ACT. 207,100.0,0.475,1562484.0,23680204        RETE ICA COMPRAS 9.5 ACTIV 20,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3002,RETE ICA INDUSTRIAL 3.8 ACT. 103,100.0,0.19,0.0,23680101        RETE ICA INDUSTRIAL 3.8 ACTIV,Compra de servicios | Nota débito de servicios - compra
ICA,3059,RETE ICA INDUSTRIAL 3.8 ARMENIA,100.0,0.38,0.0,23680102        RETE ICA INDUSTRIAL 3.8 ARMEN,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3058,RETE ICA SERVICIO 5.5 ARMENIA,100.0,0.55,0.0,23680332        RETE ICA SERVICIO 5.5 ARMENIA,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos | Nota débito de servicios - compra
ICA,3088,RETE ICA SERVICIO 5.5 ARMENIA,100.0,0.55,0.0,,
ICA,3024,RETE ICA SERVICIO 5.5 ARMENIA,100.0,0.275,0.0,23680304        RETE ICA SERVICIO 5.5 ARMENIA,Compra de servicios | Nota débito de servicios - compra
ICA,3021,RETE ICA SERVICIO 5.8 ACT. 318,100.0,0.29,1562484.0,23680301        RETE ICA SERVICIOS 5.8 ACTIV,Compra de servicios | Devoluciones y ajustes de compras | Entradas por compra y sobrecostos
ICA,3026,RETE ICA SERVICIO 6.0 ACT.315,100.0,0.3,1562484.0,23680306        RETE ICA SERVICIOS 6.0 ACTIV,Compra de servicios | Nota débito de servicios - compra
